OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-31419,2024-060W,2026-03-14T18:54:08.210592,15.27581991,.00018159,43.0003,230.9595,264.0749,95.9896,0,U,59368,999,11084,.77563636E-4,.1873E-4,0
STARLINK-31583,2024-060X,2026-03-14T17:58:52.098240,15.27575259,.00014006,42.9998,220.2890,269.7095,90.3596,0,U,59369,999,11096,.7545731E-5,-.54E-6,0
STARLINK-31461,2024-060Y,2026-03-14T10:24:44.817120,15.27574499,.00015824,43.0028,222.2232,275.1906,84.8765,0,U,59370,999,11085,.9976874E-5,.12E-6,0
RESURS-P 4,2024-061A,2026-03-14T23:13:37.937280,15.32978466,.00020872,97.2656,23.5320,54.7459,305.3979,0,U,59371,999,10933,.1528529E-3,.4792E-4,0
STARLINK-31641,2024-062A,2026-03-14T17:36:37.518048,15.30196417,.00009697,53.1594,235.0815,77.6120,282.4989,0,U,59374,999,11039,.26598633E-4,.429E-5,0
STARLINK-31430,2024-062B,2026-03-14T15:51:53.829216,15.30219139,.00011456,53.1591,235.3238,62.4438,297.6679,0,U,59375,999,11039,.70043201E-4,.1717E-4,0
STARLINK-31695,2024-062C,2026-03-14T17:37:13.318752,15.30194954,.00011505,53.1605,232.2418,92.9964,267.1168,0,U,59376,999,11040,.13992265E-4,.55E-6,0
STARLINK-31716,2024-062D,2026-03-14T16:49:21.482112,15.30202590,.00011691,53.1595,183.7378,93.4008,266.7127,0,U,59377,999,11107,-.12287806E-4,-.723E-5,0
STARLINK-31710,2024-062E,2026-03-14T22:34:33.676320,15.30193350,.00009772,53.1594,231.3927,99.5714,260.5397,0,U,59378,999,11043,.11320549E-3,.2995E-4,0
STARLINK-31698,2024-062F,2026-03-14T17:32:39.954336,15.30192818,.0000995,53.1595,232.2338,84.3643,275.7471,0,U,59379,999,11040,.24051351E-4,.353E-5,0
